,PKMuestreo,FechaMuestreo,IDPiscina,PKCiclo,KilosAlimento,FechaSiembra,FechaCosecha,CantidadSembrada,Hectareas,days_from_last_monitoring,cycle_days,survival_updated_at,Supervivencia,PesoPromedio2,CantidadCosechada,biomass_harvested,CantidadCosechada_cum,biomass_harvested_cum,stocked_minus_harvested,live_animals,live_biomass,cumulative_biomass,kg/ha/day,cumulative_fcr,density_ha,density_ha_bin,biomass_ha,NombreProveedor,Proveedor,Codigo,Especie,Origen,Proceso,Descripcion,MnProveedor,total_feed_given,cycle_feed_cost,start_weight,start_cycle_days,CantidadCosechada_harvested,VentaUSDReal,average_weight_harvest,Parcial,final_sale,partial_harvest_qty,partial_harvest_rev,final_biomass_harvested,cycle_fcr,cycle_weekly_growth_rate,rev_ha_day,cycle_feed_ha_day,total_qty_harvested_ha,total_qty_harvested_ha_day,avg_feed_cost_$,cycle_survival
0,68442,2021-04-19,80,3405,1850.0,2021-01-06,2021-04-20,1034000,9.1000004,7.0,104,,84.0,,0.0,0.0,265170.0,4668.0,768830.0,645817.0,,,29.0,,113626.0,<130K,,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,32965.0,29299.7,0.62,5,719009.0,83042.0,31.0,2.0,1.0,265170.0,19046.0,18737.0,1.759,,87.75,34.83,79011.97,759.73,0.89,69.5
1,68180,2021-03-29,79,3407,2600.0,2021-01-01,2021-03-31,950000,7.5999999,7.0,89,,66.0,27.19,0.0,0.0,157183.0,2790.0,792817.0,523259.0,14227.0,17017.0,48.9,1.402,125000.0,<130K,2239.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,23850.0,20562.5,0.48,3,697642.0,71215.0,26.57,1.0,1.0,157183.0,9438.0,17150.0,1.391,2.17,105.29,35.26,91795.0,1031.4,0.86,73.4
2,68357,2021-04-12,86,3409,2000.0,2021-01-06,2021-04-12,678458,7.8000002,7.0,96,2021-04-12,70.0,34.2,0.0,0.0,18558.0,476.0,659900.0,461930.0,15798.0,16274.0,36.6,1.475,86982.0,<130K,2086.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,CORQ,24000.0,22501.5,1.2,5,475941.0,65316.0,29.120001,1.0,1.0,18558.0,2005.0,13795.0,1.74,2.54,87.23,32.05,61018.08,635.6,0.94,70.19999999999999
3,68055,2021-03-22,82,3410,2900.0,2021-01-07,2021-03-27,1000000,9.5,7.0,79,,67.0,22.65,0.0,0.0,0.0,0.0,1000000.0,670000.0,15175.0,15175.0,43.6,1.638,105263.0,<130K,1597.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,24850.0,19747.75,0.4,4,728923.0,47179.0,18.67,0.0,1.0,0.0,0.0,13609.0,1.826,2.08,62.86,33.11,76728.74,971.25,0.79,72.89999999999999
4,68280,2021-04-05,87,3411,2450.0,2021-01-06,2021-04-14,1214867,8.5,7.0,98,,56.0,30.39,0.0,0.0,156164.0,3395.0,1058703.0,592874.0,18017.0,21412.0,41.2,1.288,142926.0,130-160k,2519.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,CORQ,27575.0,24035.75,1.2,5,797982.0,95478.0,27.5,1.0,1.0,156164.0,13222.0,21045.0,1.31,2.2,114.62,33.1,93880.24,957.96,0.87,65.7
5,68851,2021-05-24,83,3418,2975.0,2021-02-20,2021-05-29,987198,8.6999998,7.0,98,2021-05-24,99.0,27.24,0.0,0.0,351378.0,7269.0,635820.0,629462.0,17147.0,24416.0,48.9,1.281,113471.0,<130K,2806.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,31275.0,29592.0,0.0,2,829123.0,91664.0,27.5,2.0,1.0,351378.0,31050.0,20407.0,1.533,1.99,107.51,36.68,95301.5,972.46,0.95,84.0
6,68852,2021-05-24,84,3419,2100.0,2021-02-20,2021-05-28,880000,7.3000002,7.0,97,2021-05-24,63.0,21.92,0.0,0.0,209141.0,3409.0,670859.0,422641.0,9264.0,12673.0,41.1,2.131,120548.0,<130K,1736.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,27000.0,25396.5,0.0,2,503358.0,36354.0,23.0,1.0,1.0,209141.0,10932.0,10176.0,2.653,1.62,51.34,38.13,68953.15,710.86,0.94,57.199999999999996
7,68775,2021-05-17,88,3421,200.0,2021-02-23,2021-05-21,1480000,11.7,7.0,87,2021-05-17,70.0,22.44,710958.0,17063.0,984441.0,22065.0,495559.0,346891.0,7784.0,29849.0,2.4,1.043,126496.0,<130K,2551.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,31125.0,32056.2,2.14,6,1028515.0,96666.0,24.0,2.0,1.0,984441.0,92844.0,22991.0,1.354,1.75,94.97,30.58,87907.26,1010.43,1.03,69.5
8,68859,2021-05-24,91,3422,2450.0,2021-02-24,2021-05-27,1134318,8.5,7.0,92,2021-05-24,73.0,23.6,0.0,0.0,176688.0,2827.0,957630.0,699070.0,16498.0,19325.0,41.2,1.408,133449.0,130-160k,2274.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,27200.0,25943.75,1.0,5,677563.0,57927.0,24.0,1.0,1.0,176688.0,9038.0,14848.0,1.832,1.82,74.08,34.78,79713.29,866.45,0.95,59.699999999999996
9,68860,2021-05-24,92,3423,1475.0,2021-02-25,2021-05-25,988312,9.1000004,7.0,89,2021-05-24,54.0,24.98,0.0,0.0,190638.0,3136.0,797674.0,430744.0,10760.0,13896.0,23.2,1.84,108606.0,<130K,1527.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,25575.0,24141.0,1.0,4,444016.0,42113.0,26.0,1.0,1.0,190638.0,10626.0,9724.0,2.63,1.97,52.0,31.58,48792.96,548.24,0.94,44.9
