,PKMuestreo,FechaMuestreo,IDPiscina,PesoPromedio,KilosAlimento,IDAlimento,PKPiscina,NombrePiscina,pondName,mlResultWeightCv,PkTipAlim,Activo,CodTipAlim,TamAlim,ProtAlim,USDAlim,feed_cost,FechaSiembra,FechaCosecha,FechaCosecha_join,CantidadSembrada,PKCiclo,Hectareas,days_from_last_monitoring,cycle_days,survival_updated_at,Supervivencia,PesoPromedio2,CantidadCosechada,biomass_harvested,VentaUSDReal,CantidadCosechada_cum,biomass_harvested_cum,stocked_minus_harvested,live_animals,live_biomass,cumulative_biomass,cumulative_biomass_diff,cumulative_biomass_diff_2weeks,weekly_fcr,cumulative_feed_2weeks,fcr_2weeks,kg/ha/day,cumulative_fcr,2week_FechaMuestreo,2week_PesoPromedio2,2week_growth_rate,1week_FechaMuestreo,1week_PesoPromedio2,1week_growth_rate,density_ha,density_ha_bin,biomass_ha,NombreProveedor,Codigo,Proceso,Descripcion,Proveedor,Especie,Origen,MnProveedor,VentaUSDReal_cum,feed_cost_cum,ABW,Entero/lb,Cola/lb,Entero/KG,Cola/KG,live_value_entero,live_value_cola,active_profit_entero,active_profit_entero_ha_day,active_profit_cola,active_profit_cola_ha_day
0,75024,2022-10-24,98,0.0,128.0,6,98,91,BG91,,6,1,1/2 35% PRO2,0.5,35,1.732,221.696,2022-10-17,2022-11-05,2022-11-05,1300000,3615,0.5,,7,,,0.0,0.0,0.0,0.0,0.0,0.0,1300000.0,,,,,,,,,36.6,,,,,,,,2600000.0,,,TEXCUMAR,VLL,L,Laboratorio,TX,V,L,CORQ,0.0,221.696,,,,,,,,,,,
1,78776,2023-07-03,78,0.0,311.0,40,78,71,BG71,,40,1,1MM IG1,1.0,35,1.44,447.84,2023-06-17,2023-07-11,2023-07-11,1677700,3681,2.8,14.0,16,,,0.0,0.0,0.0,0.0,0.0,0.0,1677700.0,,,,,,,373.0,,15.9,,,,,2023-06-19,0.0,0.0,599179.0,>160k,,TEXCUMAR,VLL,L,Laboratorio,TX,V,L,PUNK SP,0.0,555.2239999999999,,,,,,,,,,,
2,74564,2022-09-26,97,0.0,137.0,6,97,90,BG90,,6,1,1/2 35% PRO2,0.5,35,1.732,237.284,2022-09-15,2022-10-05,2022-10-05,1607000,3603,0.5,,11,,,0.0,0.0,0.0,0.0,0.0,0.0,1607000.0,,,,,,,,,39.1,,,,,,,,3214000.0,,,TEXCUMAR,VLL,L,Laboratorio,TX,V,L,ACUTEC,0.0,237.284,,,,,,,,,,,
3,74561,2022-09-26,93,0.0,230.0,6,93,86,BG86,,6,1,1/2 35% PRO2,0.5,35,1.732,398.36,2022-09-14,2022-10-06,2022-10-06,3180000,3601,2.2,,12,,,0.0,0.0,0.0,0.0,0.0,0.0,3180000.0,,,,,,,,,14.9,,,,,,,,1445455.0,,,TEXCUMAR,VLL,L,Laboratorio,TX,V,L,ACUI,0.0,398.36,,,,,,,,,,,
4,73139,2022-07-04,96,0.0,165.0,22,96,89,BG89,,22,1,Mix Ig1/4-1/2,0.5,35,1.64,270.59999999999997,2022-06-26,2022-07-22,2022-07-22,1634000,3579,0.15000001,,8,,,0.0,0.0,0.0,0.0,0.0,0.0,1634000.0,,,,,,,,,157.1,,,,,,,,10893333.0,,,TEXCUMAR,VLL,L,Laboratorio,TX,V,L,PUNK SP,0.0,270.59999999999997,,,,,,,,,,,
5,73138,2022-07-04,95,0.0,134.0,22,95,88,BG88,,22,1,Mix Ig1/4-1/2,0.5,35,1.64,219.76,2022-06-28,2022-07-26,2022-07-26,1805000,3583,0.25,,6,,,0.0,0.0,0.0,0.0,0.0,0.0,1805000.0,,,,,,,,,76.6,,,,,,,,7220000.0,,,TEXCUMAR,VLL,L,Laboratorio,TX,V,L,ACUTEC,0.0,219.76,,,,,,,,,,,
6,73141,2022-07-04,98,0.0,95.0,22,98,91,BG91,,22,1,Mix Ig1/4-1/2,0.5,35,1.64,155.79999999999998,2022-06-28,2022-07-25,2022-07-25,1045000,3585,0.5,,6,,,0.0,0.0,0.0,0.0,0.0,0.0,1045000.0,,,,,,,,,27.1,,,,,,,,2090000.0,,,TEXCUMAR,VLL,L,Laboratorio,TX,V,L,ACUTEC,0.0,155.79999999999998,,,,,,,,,,,
7,78268,2023-05-22,98,0.0,23.0,6,98,91,BG91,,6,1,1/2 35% PRO2,0.5,35,1.732,39.836,2023-05-19,2023-06-06,2023-06-06,1300000,3671,0.5,,3,2023-06-05,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1300000.0,1105000.0,0.0,0.0,,,,,,6.6,inf,,,,,,,2600000.0,,0.0,TEXCUMAR,VLL,L,Laboratorio,TX,V,L,PUNK SP,0.0,39.836,,,,,,,,,,,
8,78267,2023-05-22,97,0.0,19.0,6,97,90,BG90,,6,1,1/2 35% PRO2,0.5,35,1.732,32.908,2023-05-19,2023-06-06,2023-06-06,1100000,3670,0.5,,3,2023-06-05,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1100000.0,935000.0,0.0,0.0,,,,,,5.4,inf,,,,,,,2200000.0,,0.0,TEXCUMAR,VLL,L,Laboratorio,TX,V,L,PUNK SP,0.0,32.908,,,,,,,,,,,
9,78265,2023-05-22,93,0.0,301.0,6,93,86,BG86,,6,1,1/2 35% PRO2,0.5,35,1.732,521.332,2023-05-16,2023-06-09,2023-06-09,4040000,3669,2.2,,6,2023-06-05,85.0,0.0,0.0,0.0,0.0,0.0,0.0,4040000.0,3434000.0,0.0,0.0,,,,,,19.5,inf,,,,,,,1836364.0,,0.0,TEXCUMAR,VLL,L,Laboratorio,TX,V,L,SANL,0.0,521.332,,,,,,,,,,,
10,74562,2022-09-26,94,0.0,106.0,6,94,87,BG87,,6,1,1/2 35% PRO2,0.5,35,1.732,183.59199999999998,2022-09-15,2022-10-04,2022-10-04,1653000,3602,0.25,,11,,,0.0,0.0,0.0,0.0,0.0,0.0,1653000.0,,,,,,,,,60.6,,,,,,,,6612000.0,,,TEXCUMAR,VLL,L,Laboratorio,TX,V,L,ACUTEC,0.0,183.59199999999998,,,,,,,,,,,
11,77135,2023-03-06,95,0.0,200.0,32,95,88,BG88,,32,1,1 IG1,1.0,35,1.6,320.0,2023-03-06,2023-03-23,2023-03-23,950000,3650,0.25,,0,2023-03-06,95.0,0.0,0.0,0.0,0.0,0.0,0.0,950000.0,902500.0,0.0,0.0,,,,,,114.3,inf,,,,,,,3800000.0,,0.0,AQUATROPICAL,VLL,L,Laboratorio,AQ,V,L,SP,0.0,320.0,,,,,,,,,,,
12,72879,2022-06-06,94,0.0,121.0,22,94,87,BG87,,22,1,Mix Ig1/4-1/2,0.5,35,1.64,198.44,2022-05-27,2022-06-13,2022-06-13,1653000,3571,0.25,7.0,10,,,0.0,0.0,0.0,0.0,0.0,0.0,1653000.0,,,,,,,327.0,,69.1,,,,,2022-05-30,0.0,0.0,6612000.0,,,TEXCUMAR,VLL,L,Laboratorio,TX,V,L,PUNK SP,0.0,198.44,,,,,,,,,,,
